Category ID,Category Name,Item Sort Order
,,Banquet: Chicken Nuggets With Mac & Cheese Dinner 7.4 oz Pk (WGD)
,,Jimmy Dean: Ham & Cheese Breakfast Bowl 7 oz Pk (WGD)
,,Jimmy Dean: Loaded Potato Breakfast Bowl 7 oz Pk (WGD)
,,Banquet: Chicken Strips Meal 8.9 oz Pk (WGD)
,,Banquet: Meatloaf Meal 8 oz Pk (WGD)
,,Stouffers: Meat Lovers Lasagna 10 oz Pk (WGD)
,,Stouffers: Classic Lasagna With Meat & Sauce 10.5 oz Pk (WGD)
,,Tony's: Supreme Pizza 20.60 oz Pk (WGD)
,,Tony's: Meat Trio Pizza 20.13 oz Pk (WGD)
,,Tony's: Cheese Pizza 20.60 oz Pk (WGD)
,,Tony's: Pepperoni Pizza 20.13 oz Pk (WGD)
,,Stouffers: Spaghetti with Meat Sauce 12 oz Pk (WGD)
,,Stouffers: Spaghetti with Meatballs 12 5/8 oz Pk (WGD)
,,Stouffers: Creamed Chipped Beef 11 oz Pk (WGD)
,,Stouffers: Salisbury Steak 9 5/8 oz Pk (WGD)
,,Nestle: Hotpockets - Pepperoni Pizza 9 oz Pk (WGD)
,,Nestle: Hotpockets - Ham & Cheddar 9oz Pk (WGD)
,,Stouffers: Meat Loaf 97/8 oz Pk (WGD)
,,Stouffers: Lasagna With Meat & Sauce Large Size 19 oz Pk (WGD)
,,
EE2FZQKHR80KY,Alcohol - Wines,101 North Winery: Cabernet Sauvignon 750 ml Bottles (WZD)
,,101 North Winery: Chardonnay 750 ml Bottle (WZD)
,,101 North Winery: Pinot Grigo 750 ml Bottle (WZD)
,,19 Crimes: Cali Red 750 ml Bottle (RND)
,,19 Crimes: Cali Rose 750 ml Bottle (RND)
,,19 Crimes: Hard Chard 750 ml Bottle (RND)
,,19 Crimes: Red Blend Wine 750 ml Bottle (RND)
,,19 Crimes: Sauvignon Blanc 750 ml Bottle (RND)
,,Barefoot: Malbec 750 ml Bottle (BTD)
,,19 Crimes: The Banished - Dark Red 750 ml Bottle (RND)
,,19 Crimes: The Uprising - Red Rum Barrel 750 ml Bottle (RND)
,,Alamos: Cabernet Sauvignon 750 ml Bottle (BTD)
,,Alamos: Red Wine Blend 750 ml Bottle (BTD)
,,Banfi: Chianti Classico 750 ml Bottle (RND)
,,Banfi: Pinot Grigio 750 ml Bottle (RND)
,,Banfi: Rosa Regale - Brachetto Sparling Red 750 ml Bottle (RND)
,,Banfi: Rosa Regale - Sparkling White 750 ml Bottle (RND)
,,Barefoot: Chardonnay 750 ml Bottle (BTD)
,,Barefoot: Merlot 750 ml Bottle (BTD)
,,Barefoot: Pinot Grigio 750 ml Bottle (BTD)
,,Bartenura: Brachetto Sweet Red 750 ml Bottle (BTD)
,,Bartenura: Moscata - Sparkling Wine 750 ml Bottle (BTD)
,,Underwood: Pinot Nior 750 ml Bottle (RND)
,,Bartenura: Pinot Grigio 750 ml Bottle (BTD)
,,Beringer Bros: Chardonnay - Bourbon Aged 750 ml Bottle (BTD)
,,Beringer Bros: Red Wine Blend - Bourbon Aged 750 ml Bottle (BTD)
,,Beringer Bros: Sauvignon Blanc - Tequila Aged 750 ml Bottle (BTD)
,,Barefoot: Sauvignon Blanc 750 ml Bottle (BTD)
,,Maschio: Prosecco Brut 750 ml Bottle (RND)
,,Bonterra: Chardonnay 750 ml Bottle (RND)
,,Bonterra: Equinox Red 750 ml Bottle (RND)
,,Bonterra: Zinfandel 750 ml Bottle (RND)
,,Bonterra: Sauvignon Blanc 750 ml Bottle (RND)
,,Bota Box: Chardonnay 3 L Box (RND)
,,Bota Box: Pinot Grigio 3 L Box (RND)
,,Bota Box: Pinot Noir 3 L Box (RND)
,,Bota Box: Sauvignon Blanc 3 L Box (RND)
,,Bota Box: Nighthawk Black - Cabernet Sauvignon 3 L Box (RND)
,,Bota Box: Nighthawk Black - Lush Pinot Noir 3 L Box (RND)
,,Bota Box: Nighthawk Black - Dark Malbec 3 L Box (RND)
,,Bota Box: Nighthawk Black - Red Blend 3 L Box (RND)
,,Bouvet: Brut - Signature 750 ml Bottle (RND)
,,Brancott Estate: Pinot Noir 750 ml Bottle (RND)
,,Campo Viejo: Cava - Brut Reserva 750 ml Bottle (RND)
,,Campo Viejo: Garnacha - Rioja 750 ml Bottle (RND)
,,Campo Viejo: Tempranillo - Rioja 750 ml Bottle (RND)
,,Campo Viejo: The Red Blend 750 ml Bottle (RND)
,,Capriccio: Sangria - Original 4 / 375 ml Bottles Pack (RND)
,,Chapoutier CDR: Belleruche RGE 750 ml Bottle (BTD)
,,Chapoutier CDR: Belleruche BL 750 ml Bottle (BTD)
,,Chilensis: Cabernet Sauvignon 750 ml Bottle (BBD)
,,Chilensis: Chardonnay 750 ml Bottle (BBD)
,,Chilensis: Malbec 750 ml Bottle (BBD)
,,Chilensis: Pinot Noir 750 ml Bottle (BBD)
,,Chilensis: Sauvignon Blanc 750 ml Bottle (BBD)
,,Copa di Vino: Cabernet Sauvignon 187 ml Bottle (WZD)
,,Copa di Vino: Chardonnay 187 ml Bottle (WZD)
,,Copa di Vino: Red Blend 187 ml Bottle (WZD)
,,Copa di Vino: Sauvignon Blanc 187 ml Bottle (WZD)
,,Murphy Goode: Cabernet Sauvignon 750 ml Bottle (RND)
,,High Heaven: Sea of Tranquility - Merlot 750 ml Bottle (RND)
,,"E. Guigal: Red Wine, Rouge 750 ml Bottle (RND)"
,,Francis Coppola: Cabernet Sauvignon 750 ml Bottle (RND)
,,Francis Coppola: Merlot Blue Label 750 ml Bottle (RND)
,,Funf: Sangria 750 ml Bottle (BTD)
,,Josh Cellars: Zinfandel 750 ml Bottle (BTD)
,,James Bryant Hill: Chardonnay 750 ml Bottle (BBD)
