Clover ID,Name,Alternate Name,Description,Price,Price Type,Price Unit,Cost,Product Code,SKU,Quantity,Hidden?,Default tax rates?,Non-revenue item?,Printer Labels,Modifier Groups,Categories,Tax Rates,Variant Attribute,Variant Option
GX6WRW1SCVGE2,Kool: Green Menthol Kings 1 Pk (CTD),,,$11.20,Fixed,,$10.10,09057136,09057136,,Yes,No,No,Cigarettes,,Tobacco - Cigarettes,Processing Charge,,
,,,,,,,,,,,,,,,,,Tobacco Tax,,
T02QVH316068E,Red Shedman: Golden Hour Hefeweizen 12 oz / 4 pk Cans (RBD),,,$11.99,Fixed,,$7.50,642014223558,,,No,No,No,Beer,,Alcohol - Beers,Processing Charge,,
,,,,,,,,,,,,,,,,,Alcohol Tax,,
JK78YSKJ2H6A0,Phillies: Cigars Regular Flavor Pk (CTD),,,$3.54,Fixed,,$1.38,070235129784,070235129784,10,No,No,No,,,Tobacco -  Cigars & Wraps,Processing Charge,,
,,,,,,,,,,,,,,,,,Tobacco Tax,,
77R1HH4H3GSRW,Phillies: Menthol 100's Pk (CTD),,,$3.54,Fixed,,$1.38,070235129807,070235129807,,No,No,No,,,Tobacco -  Cigars & Wraps,Processing Charge,,
,,,,,,,,,,,,,,,,,Tobacco Tax,,
DG2A4SCGNM5FM,Tampax: Tampons - Super Plus 10 ct Box (KUD),,,$5.59,Fixed,,$3.15,073010414099,073010414099,,Yes,Yes,No,,,Hygiene Products,,,
PDGRBD0Z6AVYW,Pepcid AC: Acid Reducer 20 mg Tablets 5 ct pk,,,$7.89,Fixed,,$4.68,366715974884,,,No,No,No,,,Medicine / Vitamins,Processing Charge,,
,,,,,,,,,,,,,,,,,Retail Tax,,
7X4GSJFMW553J,Werther's: Original Hard Candy 1.8 oz pk,,,$1.59,Fixed,,$0.83,072799008666,072799008666,,Yes,Yes,No,,,Snacks - Candy,,,
XB6B99D7QEEY4,Frito Lay: Quaker Oats - Cap'n Crunch Sweet Corn & Oat Crunch Berries Cereal 1.3 oz Cup,,,$1.99,Fixed,,$0.75,030000315965,,,No,Yes,No,,,Groceries - Cereal,,,
79E8D04662J16,Gambler: Red Tube Kings 200 ct (CTD),,,$6.99,Fixed,,$3.39,077170260220,077170260220,,No,No,No,,,Tobacco - OTP,Processing Charge,,
,,,,,,,,,,,,,,,,,Tobacco Tax,,
PBNQMRACS1X76,Red Shedman: Apple Pie & Ice Cream Hard Cider 12 oz / 4 pk Cans (RBD),,,$13.99,Fixed,,$9.00,642014222995,,,No,No,No,Beer,,Alcohol - Beers,Processing Charge,,
,,,,,,,,,,,,,,,,,Alcohol Tax,,
MJVCDXRB58WA6,Gain: Original Dryer Sheets 15 ct Box,,,$2.99,Fixed,,$1.33,037000958611,037000958611,,No,Yes,No,,,Household - Cleaning Supplies,,,
2QZBDXW5EBKKY,Dove: White 1/4 Moisturizing Cream 3.15 oz pk (KUD),,,$2.49,Fixed,,$1.73,011111614246,011111614246,,Yes,Yes,No,,,Hygiene Products,,,
S412G562BQE1A,Red Shedman: Echo In The Dark Vanilla Porter 12 oz / 6 pk Cans (RBD),,,$13.99,Fixed,,$9.00,642014222650,,,No,No,No,Beer,,Alcohol - Beers,Processing Charge,,
,,,,,,,,,,,,,,,,,Alcohol Tax,,
4HKFZRV6Z9TJR,David: Sunflower Seeds - Jumbo Ranch 5.25 oz Bag (CGD),,,$2.99,Fixed,,$1.59,026200467726,,,Yes,Yes,No,,,Snacks - Nuts,,,
1W8XGZ4GHTQZR,Black & Mild: Wine Pre-Priced Plastic Tip 1 ct (CTD),,,$1.39,Fixed,,$1.17,070137834625,,,Yes,No,No,,,Tobacco -  Cigars & Wraps,Processing Charge,,
,,,,,,,,,,,,,,,,,Tobacco Tax,,
X9VESA5H49JG4,Black & Mild: Jazz Pre-Priced Plastic Tip 1 ct (CTD),,,$1.39,Fixed,,$1.13,070137115298,,,Yes,No,No,,,Tobacco -  Cigars & Wraps,Processing Charge,,
,,,,,,,,,,,,,,,,,Tobacco Tax,,
ANN9DCMME3NJ0,Frito Lay: Lay's - Sweet Southern Heat Barbecue Chips 2.625 oz Bag,,,$2.69,Fixed,,$1.88,028400323888,,,No,Yes,No,,,Snacks - Chips,,,
ECWQEYA376Y82,Black & Mild: Original Pre-Priced Plastic Tip 1 ct (CTD),,,$1.39,Fixed,,$1.12,070137834328,,,Yes,No,No,,,Tobacco -  Cigars & Wraps,Processing Charge,,
,,,,,,,,,,,,,,,,,Tobacco Tax,,
8T2XXN1GZ8VJY,Frito Lay: Lay's - Kettle Cooked Sea Salt & Vinegar Chips 8 oz Bag,,,$5.09,Fixed,,$3.68,028400372169,,,No,Yes,No,,,Snacks - Chips,,,
8AFVK9PQ2QGYG,Sweet N Low: Zero Calorie 1.75 oz 50 ct Box (CGD),,,$2.49,Fixed,,$1.39,044800001010,044800001010,,Yes,Yes,No,,,Groceries - Boxed / Canned,,,
0SEP4NFHBT0F8,Breyers: Chocolate Ice Cream Pint Tub (GPD),,,$5.99,Fixed,,$3.66,077567274700,077567274700,,No,Yes,No,,,Ice Cream Products,,,
32WQ66RW2BM92,Popsicle: Spider-Man Ice Cream Bar 3.38 oz (GPD),,,$3.69,Fixed,,$2.21,077567002846,077567002846,,Yes,Yes,No,,,Ice Cream Products,,,
18073SBJ6Y5TG,Frito Lay: Doritos - Flaming Hot Nacho Chips 2.75 oz Bag,,,$2.69,Fixed,,$1.88,028400325226,,,No,Yes,No,,,Snacks - Chips,,,
GEH65EQ1MNAQ8,Breath Savers: Sugar-Free Spearmint 1.27 oz Pk (CGD),,,$2.59,Fixed,,$1.57,03433702,03433702,,No,Yes,No,,,Snacks - Candy,,,
